Date,Latitude,Longitude,value
2016,50.25,8.25,4.2
2016,50.25,8.5,5.4
2016,50.25,8.75,5.8
2016,50.25,9,4.8
2016,50.25,9.25,4
2016,50.25,9.5,2.5
2016,50.25,9.75,2.2
2016,50.25,10,3.7
2016,50.25,10.25,4.7
2016,50.25,10.5,4.6
2016,50.25,10.75,3.3
2016,50.25,11,3.2
2016,50.25,11.25,3
2016,50.25,11.5,3.6
2016,50.25,11.75,5.7
2016,50.25,12,5.5
2016,50.25,12.25,5
2016,50.25,12.5,3.8
2016,50.25,12.75,4.2
2016,50.25,13,5.1
2016,50.25,13.25,5.9
2016,50.25,13.5,3.2
2016,50.25,13.75,4.8
2016,50.25,14,4.6
2016,50.25,14.25,4.3
2016,50.25,14.5,3.4
2016,50.25,14.75,4
2016,50.25,15,4.3
2016,50.25,15.25,3.9
2016,50.25,15.5,4.7
2016,50,5.5,7.2
2016,50,5.75,6.9
2016,50,6,4.8
2016,50,6.25,4.5
2016,50,6.5,4
2016,50,6.75,3.8
2016,50,7,2.9
2016,50,7.25,4.7
2016,50,7.5,5
2016,50,7.75,3.3
2016,50,8,3.2
2016,50,8.25,2.7
2016,50,8.5,5.2
2016,50,8.75,6.7
2016,50,9,3
2016,50,9.25,2.6
2016,50,9.5,3.8
2016,50,9.75,2.6
2016,50,10,4.2
2016,50,10.25,2.6
2016,50,10.5,4.5
2016,50,10.75,4
2016,50,11,3.2
2016,50,11.25,5.1
2016,50,11.5,1.9
2016,50,11.75,3.6
2016,50,12,3.8
2016,50,12.25,3.7
2016,50,12.5,4.4
2016,50,12.75,5.6
2016,50,13,5.7
2016,50,13.25,4.7
2016,50,13.5,4.6
2016,50,13.75,3.9
2016,50,14,3
2016,50,14.25,3.7
2016,50,14.5,3.2
2016,50,14.75,4.8
2016,50,15,4.2
2016,50,15.25,4.7
2016,50,15.5,4.3
2016,49.75,5.5,5.5
2016,49.75,5.75,5.9
2016,49.75,6,4.7
2016,49.75,6.25,6.2
2016,49.75,6.5,4.3
2016,49.75,6.75,5.2
2016,49.75,7,4.1
2016,49.75,7.25,5
2016,49.75,7.5,4
2016,49.75,7.75,5.2
2016,49.75,8,6.4
2016,49.75,8.25,3.8
2016,49.75,8.5,5.6
2016,49.75,8.75,5.4
2016,49.75,9,4.6
2016,49.75,9.25,1.4
2016,49.75,9.5,2.2
2016,49.75,9.75,4.2
2016,49.75,10,3.8
2016,49.75,10.25,4.5
2016,49.75,10.5,6.1
2016,49.75,10.75,4
2016,49.75,11,2
2016,49.75,11.25,4
2016,49.75,11.5,4
2016,49.75,11.75,4.4
2016,49.75,12,4.2
2016,49.75,12.25,3.6
2016,49.75,12.5,5.4
2016,49.75,12.75,4.7
2016,49.75,13,5.4
2016,49.75,13.25,4.7
